Header,Column1,Match Match,Red Alliance Red Alliance Blue Alliance,Red Alliance Red Alliance Blue Alliance2,Red Alliance Red Alliance Blue Alliance3,Red Alliance Red Alliance Blue Alliance4,Red Alliance Red Alliance Blue Alliance5,Red Alliance Red Alliance Blue Alliance6,Blue Alliance Red Alliance Blue Alliance,Blue Alliance Red Alliance Blue Alliance2,Blue Alliance Red Alliance Blue Alliance3,Blue Alliance Red Alliance Blue Alliance4,Blue Alliance Red Alliance Blue Alliance5,Blue Alliance Red Alliance Blue Alliance6,Scores Red Score Blue Score,Scores Red Score Blue Score2
Qualifications,,Quals 19,5948,5948,5932,5932,8741,8741,3354,3354,2283,2283,5959,5959,3,3
Qualifications,,Quals 19,5948,5948,5948,5948,5932,5932,5932,5932,8741,8741,8741,8741,3,3
Qualifications,,Quals 19,3354,3354,3354,3354,2283,2283,2283,2283,5959,5959,5959,5959,3,3
Qualifications,,Quals 20,3933,3933,7725,7725,6106,6106,6702,6702,6676,6676,6170,6170,22,19
Qualifications,,Quals 20,3933,3933,3933,3933,7725,7725,7725,7725,6106,6106,6106,6106,22,22
Qualifications,,Quals 20,6702,6702,6702,6702,6676,6676,6676,6676,6170,6170,6170,6170,19,19
Qualifications,,Quals 21,8293,8293,3794,3794,6017,6017,3472,3472,6348,6348,6647,6647,8,60
Qualifications,,Quals 21,8293,8293,8293,8293,3794,3794,3794,3794,6017,6017,6017,6017,8,8
Qualifications,,Quals 21,3472,3472,3472,3472,6348,6348,6348,6348,6647,6647,6647,6647,60,60
Qualifications,,Quals 22,4731,4731,4010,4010,4782,4782,8244,8244,5133,5133,7421,7421,21,36
Qualifications,,Quals 22,4731,4731,4731,4731,4010,4010,4010,4010,4782,4782,4782,4782,21,21
Qualifications,,Quals 22,8244,8244,8244,8244,5133,5133,5133,5133,7421,7421,7421,7421,36,36
Qualifications,,Quals 23,5696,5696,3354,3354,8740,8740,6606,6606,5959,5959,4775,4775,5,16
Qualifications,,Quals 23,5696,5696,5696,5696,3354,3354,3354,3354,8740,8740,8740,8740,5,5
Qualifications,,Quals 23,6606,6606,6606,6606,5959,5959,5959,5959,4775,4775,4775,4775,16,16
Qualifications,,Quals 24,5887,5887,5948,5948,5716,5716,7725,7725,4403,4403,3478,3478,17,30
Qualifications,,Quals 24,5887,5887,5887,5887,5948,5948,5948,5948,5716,5716,5716,5716,17,17
Qualifications,,Quals 24,7725,7725,7725,7725,4403,4403,4403,4403,3478,3478,3478,3478,30,30
Qualifications,,Quals 25,6170,6170,8776,8776,5932,5932,6106,6106,3510,3510,4371,4371,14,6
Qualifications,,Quals 25,6170,6170,6170,6170,8776,8776,8776,8776,5932,5932,5932,5932,14,14
Qualifications,,Quals 25,6106,6106,6106,6106,3510,3510,3510,3510,4371,4371,4371,4371,6,6
Qualifications,,Quals 26,4723,4723,6702,6702,8734,8734,6676,6676,4635,4635,2283,2283,13,59
Qualifications,,Quals 26,4723,4723,4723,4723,6702,6702,6702,6702,8734,8734,8734,8734,13,13
Qualifications,,Quals 26,6676,6676,6676,6676,4635,4635,4635,4635,2283,2283,2283,2283,59,59
Qualifications,,Quals 27,5959,5959,6832,6832,8741,8741,6606,6606,3933,3933,6694,6694,34,35
Qualifications,,Quals 27,5959,5959,5959,5959,6832,6832,6832,6832,8741,8741,8741,8741,34,34
Qualifications,,Quals 27,6606,6606,6606,6606,3933,3933,3933,3933,6694,6694,6694,6694,35,35
Qualifications,,Quals 28,3354,3354,4731,4731,7725,7725,4782,4782,5133,5133,3794,3794,18,8
Qualifications,,Quals 28,3354,3354,3354,3354,4731,4731,4731,4731,7725,7725,7725,7725,18,18
Qualifications,,Quals 28,4782,4782,4782,4782,5133,5133,5133,5133,3794,3794,3794,3794,8,8
Qualifications,,Quals 29,8244,8244,5948,5948,3472,3472,4010,4010,6106,6106,8740,8740,3,18
Qualifications,,Quals 29,8244,8244,8244,8244,5948,5948,5948,5948,3472,3472,3472,3472,3,3
Qualifications,,Quals 29,4010,4010,4010,4010,6106,6106,6106,6106,8740,8740,8740,8740,18,18
Qualifications,,Quals 30,4371,4371,6017,6017,6702,6702,8776,8776,8734,8734,5716,5716,12,2
Qualifications,,Quals 30,4371,4371,4371,4371,6017,6017,6017,6017,6702,6702,6702,6702,12,12
Qualifications,,Quals 30,8776,8776,8776,8776,8734,8734,8734,8734,5716,5716,5716,5716,2,2
Qualifications,,Quals 31,6647,6647,4775,4775,6676,6676,6832,6832,6694,6694,6170,6170,31,34
Qualifications,,Quals 31,6647,6647,6647,6647,4775,4775,4775,4775,6676,6676,6676,6676,31,31
Qualifications,,Quals 31,6832,6832,6832,6832,6694,6694,6694,6694,6170,6170,6170,6170,34,34
Qualifications,,Quals 32,3478,3478,4723,4723,3933,3933,8741,8741,5696,5696,4403,4403,64,22
Qualifications,,Quals 32,3478,3478,3478,3478,4723,4723,4723,4723,3933,3933,3933,3933,64,64
Qualifications,,Quals 32,8741,8741,8741,8741,5696,5696,5696,5696,4403,4403,4403,4403,22,22
Qualifications,,Quals 33,3510,3510,2283,2283,5932,5932,7421,7421,8293,8293,4635,4635,19,74
Qualifications,,Quals 33,3510,3510,3510,3510,2283,2283,2283,2283,5932,5932,5932,5932,19,19
Qualifications,,Quals 33,7421,7421,7421,7421,8293,8293,8293,8293,4635,4635,4635,4635,74,74
Qualifications,,Quals 34,6348,6348,8244,8244,8776,8776,5887,5887,3354,3354,6606,6606,20,19
Qualifications,,Quals 34,6348,6348,6348,6348,8244,8244,8244,8244,8776,8776,8776,8776,20,20
Qualifications,,Quals 34,5887,5887,5887,5887,3354,3354,3354,3354,6606,6606,6606,6606,19,19
Qualifications,,Quals 35,8740,8740,6170,6170,6647,6647,4782,4782,6017,6017,8734,8734,23,6
Qualifications,,Quals 35,8740,8740,8740,8740,6170,6170,6170,6170,6647,6647,6647,6647,23,23
Qualifications,,Quals 35,4782,4782,4782,4782,6017,6017,6017,6017,8734,8734,8734,8734,6,6
Qualifications,,Quals 36,6702,6702,3478,3478,6832,6832,5133,5133,4371,4371,4731,4731,54,8
Qualifications,,Quals 36,6702,6702,6702,6702,3478,3478,3478,3478,6832,6832,6832,6832,54,54
Qualifications,,Quals 36,5133,5133,5133,5133,4371,4371,4371,4371,4731,4731,4731,4731,8,8
Qualifications,,Quals 37,4403,4403,5959,5959,4010,4010,6676,6676,6106,6106,8293,8293,24,6
Qualifications,,Quals 37,4403,4403,4403,4403,5959,5959,5959,5959,4010,4010,4010,4010,24,24
Qualifications,,Quals 37,6676,6676,6676,6676,6106,6106,6106,6106,8293,8293,8293,8293,6,6
Qualifications,,Quals 38,6694,6694,4723,4723,3510,3510,5948,5948,7725,7725,6348,6348,24,33
Qualifications,,Quals 38,6694,6694,6694,6694,4723,4723,4723,4723,3510,3510,3510,3510,24,24
