Equipo ,Match,Alianza,Auto_Line,Aut_UP,Aut_DOWN,HP,Tele_DOWN,Tele_UP,EndGame,Defense,Fouls,Off
5932 Quetzales,14,Azul,No,0,0,0,0,0,0,Sí,0,0
6348 Horus,14,Roja,Si,0,0,0,0,8,2,No,4,0
8740 QuantumForce,14,Roja,No,0,0,0,0,0,0,Sí,4,0
4010 Nautilus,15,Roja,No,0,0,0,0,0,0,No,0,0
4723 Earth,15,Azul,No,0,0,0,0,1,0,No,0,0
5887 IMPERATOR,15,Roja,No,0,1,0,0,0,0,No,0,0
6017 Cyberius,15,Azul,No,0,0,0,0,0,0,No,0,1
6647 Voltec,15,Azul,Si,0,0,0,2,0,0,No,0,1
8293 WhiteFox,15,Roja,No,0,0,0,0,1,0,No,0,1
3794 WinT,16,Roja,No,0,0,0,0,0,0,No,4,0
4775 Aztech,16,Roja,Si,0,0,0,3,0,2,No,4,0
6694 Innobotics,16,Azul,No,0,0,0,0,0,0,No,0,1
7421 OVERTURE,16,Azul,Si,2,0,0,9,0,0,No,0,0
8244 CBTech,16,Roja,No,0,0,1,0,0,0,No,4,1
8734 B.A.T.S.,16,Azul,Si,0,0,0,0,0,0,No,0,1
3472 Buluk,17,Azul,Si,0,0,0,0,0,0,No,0,0
4403 Roult,17,Azul,Si,0,0,0,0,5,2,No,0,0
5133 BlueSteel,17,Azul,No,0,0,0,0,0,0,No,0,1
5716 Keybot,17,Azul,Si,0,0,0,0,0,0,No,0,0
6606 PinkHawks,17,Roja,No,0,0,0,0,0,0,No,0,1
8776 NorthernLizards,17,Roja,No,0,0,0,0,0,0,No,0,1
3478 Lambot,18,Roja,Si,2,0,0,0,10,2,No,0,0
3510 Tectronic,18,Roja,No,0,0,0,0,0,0,No,0,1
4635 BotBusters,18,Roja,Si,4,0,0,0,9,4,No,0,0
4782 Borrebots,18,Azul,Si,0,0,0,0,1,0,Sí,8,0
6832 STEAMex,18,Azul,Si,0,0,0,0,0,0,No,8,1
8740 QuantumForce,18,Azul,No,0,0,0,0,0,0,Sí,8,1
2283 Panteras,19,Azul,No,0,0,0,0,0,0,No,0,1
3354 TecDroid,19,Azul,Si,0,0,0,1,0,0,Sí,0,0
5932 Quetzales,19,Roja,Si,0,0,0,0,0,0,Sí,0,0
5948 Lebotics,19,Roja,Si,0,0,0,1,0,0,No,0,0
5959 TitaniumRams,19,Azul,Si,0,0,0,0,0,0,No,0,0
8741 Racoons,19,Roja,No,0,0,0,0,0,0,No,0,1
3933 Tamankeet,20,Roja,Si,0,0,0,3,1,2,No,4,0
6106 Tecgear,20,Roja,Si,0,0,0,0,0,0,No,4,1
6170 Vitronik,20,Azul,Si,0,0,0,1,0,2,No,4,1
6676 ThunderHawks,20,Azul,Si,0,0,0,0,0,0,Sí,4,0
6702 StingBots,20,Azul,Si,0,0,0,0,0,0,No,4,0
7725 Nuts&volts,20,Roja,No,0,0,0,0,0,0,Sí,4,0
3472 Buluk,21,Azul,No,0,0,0,2,0,0,No,0,1
3794 WinT,21,Roja,No,0,0,0,0,0,0,No,8,1
6017 Cyberius,21,Roja,Si,0,0,0,0,0,0,No,8,1
6348 Horus,21,Azul,Si,2,0,0,0,5,2,No,0,0
8293 WhiteFox,21,Roja,No,0,0,0,2,0,2,No,8,0
9999 incognito,21,Azul,No,0,0,0,2,0,0,No,0,1
4010 Nautilus,22,Roja,Si,1,0,0,0,1,0,No,0,1
4731 MonarchE,22,Roja,Si,0,0,0,1,0,0,No,0,1
4782 Borrebots,22,Roja,Si,0,0,0,0,5,0,No,0,0
5133 BlueSteel,22,Azul,No,0,0,0,0,0,0,No,0,1
7421 OVERTURE,22,Azul,Si,1,0,0,0,10,2,No,0,0
7421 OVERTURE,22,Azul,Si,3,0,0,0,10,2,No,0,0
8244 CBTech,22,Azul,No,0,0,0,0,0,0,Sí,0,1
3354 TecDroid,23,Roja,Si,2,0,0,0,0,0,Sí,4,0
4775 Aztech,23,Azul,Si,0,0,0,6,0,0,No,0,1
5696 Faraday,23,Roja,Si,0,0,0,1,0,0,No,4,1
5959 TitaniumRams,23,Azul,Si,0,0,0,0,1,0,No,0,0
8740 QuantumForce,23,Roja,No,0,0,0,0,0,0,No,4,0
3478 Lambot,24,Azul,Si,2,0,0,0,4,0,No,0,1
4403 Roult,24,Azul,No,0,0,0,0,3,3,No,0,0
5716 Keybot,24,Roja,No,0,0,0,2,0,1,No,0,0
5887 IMPERATOR,24,Roja,Si,0,1,0,1,0,2,Sí,0,0
5948 Lebotics,24,Roja,Si,0,0,0,1,0,0,No,0,0
7725 Nuts&volts,24,Azul,No,0,0,0,0,0,0,No,0,1
4371 ArtMX,25,Azul,No,0,0,0,0,0,0,No,0,1
5932 Quetzales,25,Roja,Si,0,0,0,0,0,0,No,0,1
6106 Tecgear,25,Azul,No,0,1,0,2,0,0,No,0,0
6170 Vitronik,25,Roja,Si,0,0,0,0,1,2,No,0,0
8776 NorthernLizards,25,Roja,Si,0,0,0,0,0,0,Sí,0,1
3472 Buluk,29,Roja,Si,0,0,0,1,0,0,No,4,1
